id,played_first,moves,winner
183,1,"6,4,4,4,4,4,4,2,2,2,2,2,2,5,5,3",-1
184,1,"2,3,3,4,4,5,6,4,4,4,4,2,2,2,2,1,1,1,1,6,6,6,6,5,5,5,5,5,3,6,3,2,3",1
185,-1,"3,0,4,1,4,2,5,6,4,4,4,3,6,5,6,2,4,1,0,2,0,1,0,5,0",-1
187,-1,"3,3,3,6,3,5,4,4,4,5,4,6",1
190,1,"1,4,3,2,2,2,3,6,3,6,3",1
191,-1,"3,3,3,4,3,4,4,5,4,5,4,4,2,2",1
193,-1,"3,0,4,1,4,0,6,1,5",-1
195,-1,"3,6,4,5,4,5,4,5,4",-1
196,1,"5,4,5,4,5,4,4,4,5",1
200,-1,"3,3,3,2,3,2,3,3,4,2,5,6,4,2",1
203,1,"3,2,2,4,2,5,2,2,2,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,0,6,6,0,0,1,1",1
205,-1,"3,3,3,3,3,3,2,2,4,1,5",-1
212,1,"3,2,2,4,2,5,2,2,5,5,5,5,5,0,0,2,0,0,1,1,1,1,1,1,3,3,3,3,3,0,6,6,6,6,6,6,4",1
214,1,"3,2,2,4,2,5,2,2,5,4,2,5,5,5,3,5,3,4,4,4,3",1
220,1,"3,2,2,4,2,5,2,2,5,4,2,5,5,5,5,0,0,0,0,1,0,0,3,1,1",1
226,1,"3,2,2,4,3,5,2,5,5,5,2,2,6,4,4,4,6,4,1,6,1,0,0",1
230,1,"3,2,2,4,3,5,2,5,5,5,3,4,5,5,2,2,6,4,3",1
234,1,"3,2,2,4,3,5,2,5,5,5,3,4,2,2,3",1
240,1,"3,2,2,4,3,5,2,5,5,5,3,4,2,2,2,4,3",1
244,1,"3,2,2,4,3,5,3,5,6,4,6,2,6,6,6,6,2,2,2,0,0,1,1",1
250,1,"3,2,2,4,3,5,3,5,5,4,2,5,5,5,2,2,2,4,3",1
254,1,"3,2,2,4,3,5,3,5,5,4,2,5,5,5,3",1
260,1,"3,2,2,4,3,5,3,5,5,4,3",1
264,1,"3,2,2,4,3,5,3,5,5,4,2,5,4",1
282,1,"3,2,2,4,5,5,5,4,3,5,3,4,4,4,4,5,2,5,2,2,3",1
293,-1,"3,3,3,3,3,2,2,2,2,3,5,5,5,5,5,5,2,6,4,4,4,4,4",-1
294,1,"3,2,2,4,3,5,3,4,3",1
305,-1,"3,3,3,3,3,2,2,2,2,3,2,4,4,5,4,5,4,1,4",-1
306,1,"3,2,2,4,3,5,3,4,2,5,5,5,3",1
311,1,"3,2,2,4,3,5,3,4,5,4,4,4,0,6,6,6,3",1
321,-1,"3,3,3,3,3,2,2,2,2,3,2,4,4,5,4,4,4,4,5,2,5,5,5",-1
330,1,"3,2,2,4,3,5,3,4,2,5,5,5,2,2,2,4,3",1
342,1,"3,2,3,2,2,2,2,2,5,5,5,5,3,5,3",1
346,1,"3,2,3,2,2,2,2,2,5,5,5,5,5,5,3,1,3",1
347,-1,"3,3,3,3,3,2,2,2,2,3,2,4,4,5,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,2,0,0,1,0,0,0,0,1,1",-1
348,1,"3,2,3,2,2,2,2,2,5,5,5,5,5,5,3,1,1,1,1,1,3",1
350,1,"3,2,3,2,2,2,2,2,5,5,5,5,3,5,1,5,1,4,4,4,4,4,1,4,1",1
351,-1,"3,3,3,3,3,2,2,2,2,3,2,4,4,5,4,2,4,1,4",-1
360,1,"3,2,3,2,2,2,2,2,5,5,5,5,5,5,3,1,1,4,3",1
362,1,"3,2,3,2,2,2,2,2,3,5,1,5,5,5,5,5,1,4,1,4,6,4,4,4,0,6,6,6,6,6,3",1
364,1,"3,2,3,2,2,2,3,4,5,5,5,5,5,5,4,4,2,2,3",1
365,-1,"3,3,3,3,3,2,2,2,2,3,2,4,4,5,4,4,4,2,4,1,1,1,1,1,1,6,0,0,6,6,6,5,5",-1
366,1,"3,2,3,2,2,2,3,4,5,5,5,5,5,5,1,4,1,4,4,4,1,4,3",1
368,1,"3,2,3,2,2,2,3,4,5,5,5,5,5,5,3",1
369,1,"3,2,2,4,3,5,3,4,5,4,4,4,1",1
371,1,"3,2,2,4,3,5,3,4,5,4,4,4,2,4,1",1
373,1,"3,2,2,4,3,5,3,4,5,4,4,4,2,4,2,2,2,1,1,0,0",1
377,1,"3,2,2,4,3,5,3,4,2,5,5,5,5,5,2,2,4",1
381,1,"3,2,2,4,3,5,3,4,2,5,5,5,5,5,2,2,2,4,3",1
383,1,"3,2,2,4,3,5,3,4,5,4,4,4,6,4,3",1
385,1,"3,2,2,4,5,4,5,4,4,4,5,4,3,5,3,5,3",1
387,1,"3,2,2,4,5,4,5,4,4,4,5,4,2,5,3,5,2,2,2,5,3,6,3",1
393,1,"3,2,2,4,5,4,5,4,4,4,5,4,5",1
395,1,"3,2,2,4,3,5,3,4,2,4,4,5,5,5,5",1
